iter	Passed	Remaining
753	13650	4453
754	13668	4435
755	13686	4417
756	13704	4399
757	13721	4380
758	13739	4362
759	13757	4344
760	13775	4326
761	13794	4308
762	13812	4290
763	13830	4272
764	13848	4254
765	13866	4235
766	13886	4218
767	13910	4202
768	13933	4185
769	13960	4170
770	13981	4152
771	14002	4135
772	14026	4118
773	14047	4101
774	14068	4084
775	14090	4067
776	14112	4050
777	14133	4032
778	14154	4015
779	14177	3998
780	14198	3981
781	14216	3963
782	14234	3945
783	14252	3926
784	14270	3908
785	14287	3890
786	14306	3871
787	14324	3853
788	14342	3835
789	14360	3817
790	14378	3799
791	14396	3780
792	14414	3762
793	14432	3744
794	14450	3726
795	14468	3708
796	14486	3689
797	14506	3672
798	14524	3653
799	14542	3635
800	14560	3617
801	14579	3599
802	14597	3581
803	14616	3563
804	14634	3544
805	14652	3526
806	14670	3508
807	14689	3490
808	14707	3472
809	14724	3453
810	14742	3435
811	14760	3417
812	14778	3399
813	14798	3381
814	14816	3363
815	14834	3344
816	14852	3326
817	14869	3308
818	14887	3290
819	14906	3272
820	14924	3253
821	14942	3235
822	14960	3217
823	14978	3199
824	14996	3181
825	15014	3162
826	15032	3144
827	15051	3126
828	15069	3108
829	15088	3090
830	15106	3072
831	15124	3054
832	15143	3035
833	15161	3017
834	15179	2999
835	15197	2981
836	15214	2963
837	15232	2944
838	15250	2926
839	15268	2908
840	15286	2890
841	15304	2871
842	15322	2853
843	15340	2835
844	15358	2817
845	15376	2798
846	15393	2780
847	15412	2762
848	15430	2744
849	15448	2726
850	15466	2707
851	15484	2689
852	15502	2671
853	15520	2653
854	15538	2635
855	15556	2616
856	15574	2598
857	15593	2580
858	15610	2562
859	15628	2544
860	15646	2526
861	15665	2507
862	15683	2489
863	15701	2471
864	15720	2453
865	15738	2435
866	15756	2417
867	15773	2398
868	15792	2380
869	15810	2362
870	15828	2344
871	15846	2326
872	15864	2307
873	15882	2289
874	15900	2271
875	15918	2253
876	15936	2235
877	15954	2216
878	15972	2198
879	15990	2180
880	16008	2162
881	16026	2144
882	16045	2126
883	16062	2107
884	16081	2089
885	16099	2071
886	16117	2053
887	16135	2035
888	16153	2016
889	16171	1998
890	16189	1980
891	16207	1962
892	16225	1944
893	16243	1925
894	16261	1907
895	16279	1889
896	16297	1871
897	16315	1853
898	16332	1834
899	16352	1816
900	16370	1798
901	16387	1780
902	16405	1762
903	16424	1744
904	16442	1725
905	16460	1707
906	16477	1689
907	16495	1671
908	16512	1653
909	16530	1634
910	16547	1616
911	16564	1598
912	16582	1580
913	16600	1561
914	16618	1543
915	16636	1525
916	16653	1507
917	16671	1489
918	16688	1470
919	16705	1452
920	16723	1434
921	16740	1416
922	16758	1398
923	16775	1379
924	16793	1361
925	16811	1343
926	16829	1325
927	16847	1307
928	16865	1288
929	16883	1270
930	16901	1252
931	16919	1234
932	16937	1216
933	16955	1198
934	16973	1179
935	16992	1161
936	17010	1143
937	17029	1125
938	17050	1107
939	17070	1089
940	17088	1071
941	17107	1053
942	17126	1035
943	17148	1017
944	17168	999
945	17185	981
946	17203	962
947	17221	944
948	17239	926
949	17257	908
950	17275	890
951	17293	871
952	17311	853
953	17329	835
954	17346	817
955	17364	799
956	17382	781
957	17400	762
958	17419	744
959	17438	726
960	17457	708
961	17475	690
962	17493	672
963	17511	653
964	17529	635
965	17547	617
966	17565	599
967	17583	581
968	17601	563
969	17619	544
970	17636	526
971	17655	508
972	17673	490
973	17691	472
974	17709	454
975	17727	435
976	17745	417
977	17763	399
978	17781	381
979	17800	363
980	17818	345
981	17836	326
982	17854	308
983	17871	290
984	17890	272
985	17909	254
986	17927	236
987	17948	217
988	17966	199
989	17984	181
990	18002	163
991	18023	145
992	18046	127
993	18064	109
994	18082	90
995	18100	72
996	18118	54
997	18136	36
998	18154	18
999	18173	0
